Day,Phase,Prompt,Theme
1,Phase 1: Foundation,Describe yourself today without using your job title or roles for others. Who are you at your core?,Awareness & Acceptance
2,Phase 1: Foundation,What is one negative thought you catch yourself saying often? Where did you learn it?,Awareness & Acceptance
3,Phase 1: Foundation,Take yesterday’s negative thought and rewrite it as a neutral or empowering statement.,Awareness & Acceptance
4,Phase 1: Foundation,"List three things you did well today, no matter how small (e.g., 'I made a healthy lunch').",Awareness & Acceptance
5,Phase 1: Foundation,What is one piece of evidence from your life that contradicts your 'I'm not good enough' narrative?,Awareness & Acceptance
6,Phase 1: Foundation,List three things your body allows you to do that you are grateful for today.,Awareness & Acceptance
7,Phase 1: Foundation,Describe a time you felt good because you said 'no' to something that didn't serve you.,Awareness & Acceptance
8,Phase 1: Foundation,Who are you comparing yourself to? Identify one trait they have that you admire—how can you nurture that in yourself?,Awareness & Acceptance
9,Phase 1: Foundation,What is one hobby or activity you loved as a child? How can you incorporate a version of it into this week?,Awareness & Acceptance
10,Phase 1: Foundation,Look back at the last 10 days. What has surprised you most about your self-perception?,Awareness & Acceptance
11,Phase 2: Growth,What are the three non-negotiable values you live by? Are your daily actions honoring them?,Empowerment & Action
12,Phase 2: Growth,"If your best friend came to you with your current struggle, what advice would you give them? Apply it to yourself.",Empowerment & Action
13,Phase 2: Growth,Identify one small thing that scares you but would boost your confidence. Plan to do it this week.,Empowerment & Action
14,Phase 2: Growth,Is there a past mistake you are still holding against yourself? Write a letter of forgiveness to your past self.,Empowerment & Action
15,Phase 2: Growth,What activities or people drain your self-esteem? How can you distance yourself or limit that exposure?,Empowerment & Action
16,Phase 2: Growth,Write about a time you stood up for your opinion. How did it feel?,Empowerment & Action
17,Phase 2: Growth,What is a skill you possess that you often take for granted because it comes easily to you?,Empowerment & Action
18,Phase 2: Growth,"Describe what you look, act, and feel like when you are fully confident.",Empowerment & Action
19,Phase 2: Growth,List a failure or hardship that helped you become more resilient.,Empowerment & Action
20,Phase 2: Growth,"If you had unlimited resources for your personal growth, what would you invest in first?",Empowerment & Action
21,Phase 3: Integration,"When you fail this week, what words will you use to soothe yourself instead of punishing yourself?",Resilience & Radiance
22,Phase 3: Integration,How does your physical space (home/desk) impact how you feel about yourself? What needs a refresh?,Resilience & Radiance
23,Phase 3: Integration,Identify one situation where you apologize when you don't need to. Practice owning your space instead.,Resilience & Radiance
24,Phase 3: Integration,Write a letter from your 'future self' (one year from now) telling you why they are proud of who you are today.,Resilience & Radiance
25,Phase 3: Integration,How do you want people to feel when they interact with you? How does that reflect your self-worth?,Resilience & Radiance
26,Phase 3: Integration,Create a 5-minute morning routine that makes you feel ready to take on the world.,Resilience & Radiance
27,Phase 3: Integration,"What content (books, podcasts, social media) are you consuming? Does it build you up or tear you down?",Resilience & Radiance
28,Phase 3: Integration,Write your own definition of success that has nothing to do with productivity or external validation.,Resilience & Radiance
29,Phase 3: Integration,Look through your journal entries. What is the biggest shift you notice in your writing style?,Resilience & Radiance
30,Phase 3: Integration,Write a 'Self-Esteem Manifesto'—three promises you make to yourself to ensure you continue to treat yourself with respect.,Resilience & Radiance
